n_context_groups,n_obs,motion_rows,no_motion_rows,adjusted_motion_mean,adjusted_no_motion_mean,adjusted_effect,effect_ci_lower,effect_ci_upper,effect_direction,group_column,group_value,target,target_column,dataset_split
18,13624,6869,6755,0.4804918962056904,0.47527250460419934,0.005219391601491076,-0.0032871120562286684,0.0077642668640814086,unclear,down_bucket,early_down,success,target_success,test
15,5066,2445,2621,0.39302053556291544,0.3936247465631372,-0.0006042110002216299,-0.017043589490395788,0.01924678811005247,unclear,down_bucket,late_down,success,target_success,test
14,13440,6524,6916,0.4407895466489479,0.44016116440765246,0.0006283822412953105,-0.005835581221615633,0.007893170241892122,unclear,distance_bucket,long,success,target_success,test
13,3974,2086,1888,0.4739783667137562,0.47219774062002595,0.001780626093730132,-0.010519798952459953,0.021662433404307256,unclear,distance_bucket,medium,success,target_success,test
6,1276,704,572,0.5716787545342712,0.5305138698696168,0.04116488466465448,0.002605276856398232,0.08452560325739665,helps,distance_bucket,short,success,target_success,test
14,10734,5364,5370,0.4624295429076247,0.45070238110818056,0.011727161799444184,0.0015197549693527076,0.012580286125279377,helps,field_zone,backed_up,success,target_success,test
8,2113,1152,961,0.41435233989400533,0.41442748644492006,-7.514655091476856e-05,-0.042397089068040586,0.028173187416746435,unclear,field_zone,red_zone,success,target_success,test
11,5843,2798,3045,0.46175225385958907,0.47162261357917834,-0.009870359719589133,-0.023249617848520112,-0.0038555545892232307,hurts,field_zone,scoring_range,success,target_success,test
33,18690,9314,9376,0.4567824305547381,0.45314154996342765,0.0036408805913104155,-0.003191446433468376,0.005968051146372194,unclear,pressure_bucket,standard_rush,success,target_success,test
5,1521,833,688,0.48354378277466237,0.4718755881309723,0.011668194643690066,-0.00727473625995331,0.04022294484109071,unclear,score_state,leading_big,success,target_success,test
18,12762,6775,5987,0.4586756360784718,0.4587359142110669,-6.0278132595059154e-05,-0.007193195532383187,0.002269118246060111,unclear,score_state,one_score,success,target_success,test
10,4407,1706,2701,0.44206377713508904,0.4304753941700976,0.011588382964991425,0.009409042063281635,0.025867920484000485,helps,score_state,trailing_big,success,target_success,test
2,335,248,87,0.4632855459544383,0.5147656313029447,-0.051480085348506385,-0.13006756756756754,0.000263157894736854,unclear,qb_location,P,success,target_success,test
28,14632,6811,7821,0.44492320710312033,0.44224640111386837,0.0026768059892520847,-0.0019719816448956593,0.008610186030812097,unclear,qb_location,S,success,target_success,test
5,1890,1260,630,0.49424100926232073,0.5193659710249044,-0.025124961762583636,-0.03855094608807677,-0.005899060570597527,hurts,qb_location,U,success,target_success,test
17,7259,3785,3474,0.46507723120526234,0.45206873385169033,0.013008497353572028,0.008296504442998988,0.02724861692813762,helps,starting_hash,L,success,target_success,test
3,801,399,402,0.45941165096664294,0.4998240458209383,-0.04041239485429539,-0.04604126897554767,-0.03399566124978901,hurts,starting_hash,M,success,target_success,test
16,6615,3327,3288,0.4520862637471442,0.44376448922104483,0.008321774526099335,-0.01840008105730549,0.011451722923192548,unclear,starting_hash,R,success,target_success,test
12,4049,1616,2433,0.41388370314018724,0.41957222424385693,-0.00568852110366971,-0.016192426728927893,0.004773989175396451,unclear,box_bucket,light_box,success,target_success,test
23,11955,6418,5537,0.4701507887124225,0.4669974776461459,0.0031533110662765955,-0.007526814871977487,0.006579644616539167,unclear,box_bucket,standard_box,success,target_success,test
18,13624,6869,6755,0.08714729249072384,0.08131096629254178,0.005836326198182053,0.004920209278745769,0.011232640275573278,helps,down_bucket,early_down,explosive,target_explosive,test
15,5066,2445,2621,0.07785781997150258,0.09392213631659375,-0.016064316345091163,-0.03582112794834361,-0.0007901395597303762,hurts,down_bucket,late_down,explosive,target_explosive,test
14,13440,6524,6916,0.09266095939912294,0.08552984824900314,0.0071311111501198,0.004449389546843249,0.0125268613971674,helps,distance_bucket,long,explosive,target_explosive,test
13,3974,2086,1888,0.06438452389528412,0.08451862162742989,-0.020134097732145764,-0.03763519418168877,-0.010301283877537903,hurts,distance_bucket,medium,explosive,target_explosive,test
6,1276,704,572,0.06308388447114582,0.0769529659368687,-0.013869081465722868,-0.05083166471274653,0.0331318467883691,unclear,distance_bucket,short,explosive,target_explosive,test
14,10734,5364,5370,0.10002475805744156,0.09268131792539845,0.007343440132043128,0.0045598790971147,0.011423598314341976,helps,field_zone,backed_up,explosive,target_explosive,test
8,2113,1152,961,0.002732377407939808,0.003772381746946601,-0.0010400043390067929,-0.002149928377524952,0.001360595411902251,unclear,field_zone,red_zone,explosive,target_explosive,test
11,5843,2798,3045,0.08596323163061766,0.09939719974446828,-0.013433968113850614,-0.014487503344515948,0.008081124336503544,unclear,field_zone,scoring_range,explosive,target_explosive,test
33,18690,9314,9376,0.08462934343869735,0.08472927487155982,-9.99314328624689e-05,0.003176403547140098,0.009005726904479651,unclear,pressure_bucket,standard_rush,explosive,target_explosive,test
5,1521,833,688,0.11922808391897177,0.10759213158776443,0.011635952331207325,-0.023455743284175923,0.040704091881861464,unclear,score_state,leading_big,explosive,target_explosive,test
18,12762,6775,5987,0.08037900900624495,0.08474239315970017,-0.0043633841534552135,5.867677449427902e-05,0.008480228309129098,unclear,score_state,one_score,explosive,target_explosive,test
10,4407,1706,2701,0.08499650562532324,0.07680056584986837,0.008195939775454858,0.0008789726967780137,0.018466099976948147,helps,score_state,trailing_big,explosive,target_explosive,test
2,335,248,87,0.11293041372086934,0.12467930617184349,-0.011748892450974158,-0.04757882882882884,0.01184210526315789,unclear,qb_location,P,explosive,target_explosive,test
28,14632,6811,7821,0.0757475082827503,0.08104760597268902,-0.005300097689938735,-0.005709737289918522,0.0010237775664643438,unclear,qb_location,S,explosive,target_explosive,test
5,1890,1260,630,0.135665201633758,0.12402696071240635,0.011638240921351687,0.002788611398805852,0.02623733359979471,helps,qb_location,U,explosive,target_explosive,test
17,7259,3785,3474,0.09516144949204389,0.08523910434339443,0.009922345148649446,0.01087323876811176,0.02398120788372211,helps,starting_hash,L,explosive,target_explosive,test
3,801,399,402,0.09325455824117733,0.11571511510217684,-0.022460556860999514,-0.028656485774020534,-0.010576474840242838,hurts,starting_hash,M,explosive,target_explosive,test
