evaluation_slice,task,target,model_name,dataset_split,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,auroc_context_only,log_loss_context_only,brier_score_context_only,expected_calibration_error_context_only,rmse_context_only,mae_context_only,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,test,0.5898513701606711,1.176553998338677,0.40416384852155135,0.39309283588623806,,,0.5679508592316984,0.8473803792509069,0.31508402058114576,0.26695048048572795,,,0.021900510928972716,-0.3291736190877701,-0.08907982794040559,-0.1261423554005101,,,context_plus_motion,context_only
all,classification,completion,logistic_regression,test,0.5964535827092841,1.3356538763345784,0.4337383221295428,0.4325221471436618,,,0.5697326508572245,0.9025225892732397,0.34070775190749175,0.3158827225861303,,,0.026720931852059593,-0.43313128706133874,-0.09303057022205102,-0.11663942455753146,,,context_plus_motion,context_only
all,classification,explosive,gradient_boosting,test,0.5762394240833218,0.30616666400727127,0.07728821814102552,0.051641970854166476,,,0.5941997169887657,0.30014217865992276,0.07694751405414224,0.04971307464961053,,,-0.017960292905443875,-0.006024485347348507,-0.0003407040868832756,-0.001928896204555948,,,context_plus_motion,context_only
all,classification,explosive,logistic_regression,test,0.6083780403807428,0.38211715575858096,0.11330572175268692,0.17414920683085977,,,0.5958067037217096,0.4432958866207245,0.13916861755938184,0.23169352551463343,,,0.012571336659033205,0.06117873086214354,0.025862895806694916,0.05754431868377366,,,context_plus_motion,context_only
all,classification,success,gradient_boosting,test,0.5529515310558476,0.8150446418002618,0.2976405459936257,0.22212510039487215,,,0.5739170477684964,0.773103686133941,0.2830689399432744,0.19803496248698435,,,-0.02096551671264879,-0.041940955666320834,-0.014571606050351293,-0.024090137907887804,,,context_plus_motion,context_only
all,classification,success,logistic_regression,test,0.5647666012965203,0.7805494827495001,0.2848911935204555,0.19584138848046548,,,0.57651287631581,0.7347159820257322,0.2674172546292281,0.1536635690318417,,,-0.01174627501928971,-0.045833500723767906,-0.017473938891227392,-0.04217781944862378,,,context_plus_motion,context_only
all,regression,epa,gradient_boosting,test,,,,,1.7339794101474104,1.1975460203556179,,,,,1.6686306288998818,1.1480035244453546,,,,,-0.06534878124752863,-0.04954249591026327,context_plus_motion,context_only
all,regression,epa,ridge_regression,test,,,,,1.7353686472800935,1.2392188484944717,,,,,1.691433948621211,1.195019579756421,,,,,-0.04393469865888244,-0.0441992687380508,context_plus_motion,context_only
tracking_only,classification,completion,gradient_boosting,test,0.5702479338842976,0.6206065225185555,0.21212948597448916,0.05357210979562452,,,0.6067493112947657,0.6023248436978321,0.2058054506270091,0.07218066438563595,,,-0.036501377410468105,-0.0182816788207234,-0.00632403534748005,0.018608554590011428,,,context_plus_motion,context_only
tracking_only,classification,completion,logistic_regression,test,0.5165289256198348,0.653896657870212,0.2299967381912974,0.11762585658795513,,,0.5771349862258953,0.6191553568130009,0.21313995390122453,0.04639978629744598,,,-0.06060606060606055,-0.03474130105721107,-0.016856784290072868,-0.07122607029050915,,,context_plus_motion,context_only
tracking_only,classification,explosive,gradient_boosting,test,0.7320044296788483,0.28513682406842805,0.0812389708067329,0.02535026616002922,,,0.7198228128460687,0.2948406606312015,0.08568639594320099,0.028411626902591032,,,0.012181616832779518,0.00970383656277346,0.004447425136468092,0.003061360742561813,,,context_plus_motion,context_only
tracking_only,classification,explosive,logistic_regression,test,0.7170542635658914,0.8979237339777286,0.3388591441960924,0.47765067364025804,,,0.730343300110742,0.9174104004605961,0.34592493277853614,0.48462772396073456,,,-0.013289036544850585,0.019486666482867454,0.007065788582443722,0.006977050320476519,,,context_plus_motion,context_only
tracking_only,classification,success,gradient_boosting,test,0.528235294117647,0.7046422191190028,0.2550326259464398,0.04402740182063337,,,0.5776470588235294,0.6892070716477272,0.2469993226829204,0.10046835323910447,,,-0.04941176470588238,-0.015435147471275612,-0.008033303263519365,0.0564409514184711,,,context_plus_motion,context_only
tracking_only,classification,success,logistic_regression,test,0.514313725490196,0.7199848030609312,0.2614503434244615,0.10565435492265793,,,0.5650980392156862,0.7178007286852353,0.25985340161241244,0.1197932617115796,,,-0.05078431372549019,-0.002184074375695899,-0.0015969418120490575,0.01413890678892167,,,context_plus_motion,context_only
tracking_only,regression,epa,gradient_boosting,test,,,,,1.6242200429866125,1.1407286993427732,,,,,1.5949107709386512,1.1267584863139957,,,,,-0.0293092720479613,-0.013970213028777545,context_plus_motion,context_only
tracking_only,regression,epa,ridge_regression,test,,,,,1.6042511729742341,1.1335237662569988,,,,,1.6010960446490743,1.1352086755757813,,,,,-0.0031551283251598505,0.0016849093187825126,context_plus_motion,context_only
