evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,n_obs_context_only,auroc_context_only,log_loss_context_only,brier_score_context_only,expected_calibration_error_context_only,rmse_context_only,mae_context_only,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,box_bucket,light_box,test,5752,0.5935915227521931,1.1475347216123137,0.3930826854178539,0.3823070437005722,,,5752,0.5745691744008459,0.8598592592853326,0.31770779156476237,0.2683124417578613,,,0.019022348351347196,-0.28767546232698116,-0.07537489385309154,-0.11399460194271094,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,box_bucket,loaded_box,test,509,0.536729781771502,1.3073630804289709,0.4369919722411719,0.44131509493407595,,,509,0.5727615532734275,0.849449976980136,0.3194686692670336,0.2863610605999312,,,-0.03603177150192549,-0.45791310344883485,-0.11752330297413832,-0.15495403433414473,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,box_bucket,standard_box,test,13855,0.5901172541623094,1.1837959367685642,0.40755824297836696,0.39632718202834005,,,13855,0.5618953819696171,0.8421236529281214,0.313833662091151,0.2662343518034541,,,0.028221872192692343,-0.3416722838404428,-0.09372458088721597,-0.13009283022488594,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,distance_bucket,long,test,13759,0.5936880517838306,1.171452897575215,0.4048114538124214,0.3946526713017941,,,13759,0.5560347272455315,0.8288475776124474,0.3086773940396399,0.2568605705029198,,,0.03765332453829906,-0.34260531996276755,-0.0961340597727815,-0.13779210079887427,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,distance_bucket,medium,test,4319,0.5856773237782351,1.1594225900299793,0.39359800620593055,0.38151289847923353,,,4319,0.5721416179868596,0.870385464900682,0.3224678832740639,0.2758522825415724,,,0.01353570579137553,-0.28903712512929725,-0.07113012293186666,-0.10566061593766113,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,distance_bucket,short,test,2038,0.5487057313577015,1.2472981582453238,0.4221832164136445,0.41246309933697883,,,2038,0.5723387203577327,0.9237463521764155,0.3426884718146432,0.31673508694874447,,,-0.02363298900003119,-0.3235518060689082,-0.0794947445990013,-0.09572801238823436,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,down_bucket,early_down,test,14162,0.5854495464713954,1.1985483210809684,0.41557185081233505,0.40847872356924864,,,14162,0.541374411747015,0.8312083557291019,0.310795797465487,0.26535009391999115,,,0.044075134724380405,-0.3673399653518665,-0.10477605334684803,-0.1431286296492575,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,down_bucket,late_down,test,5954,0.5535486597249492,1.1242389834451054,0.37702912758737617,0.3571834570069453,,,5954,0.5349291272302186,0.8858466535397554,0.3252838552744548,0.2709899336220173,,,0.018619532494730584,-0.23839232990534998,-0.051745272312921364,-0.08619352338492803,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,field_zone,backed_up,test,11014,0.5857076522929725,1.2108650394185716,0.417508161862316,0.4096001020715934,,,11014,0.5661943297994633,0.8502408184119984,0.31718183190776994,0.2749981821489968,,,0.019513322493509233,-0.3606242210065732,-0.10032632995454605,-0.13460191992259662,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,field_zone,red_zone,test,2754,0.6084826421863458,1.0217220788939723,0.34627502769990964,0.32355848190770664,,,2754,0.5844721430832542,0.8105199337681298,0.2966003390428274,0.22531423783667914,,,0.02401049910309161,-0.21120214512584246,-0.049674688657082244,-0.0982442440710275,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,field_zone,scoring_range,test,6348,0.5883218901579645,1.1841950348378514,0.40612533960655756,0.3949168248439032,,,6348,0.5542996875646315,0.8584088590775147,0.3194631581055774,0.27144063213138414,,,0.034022202593332995,-0.32578617576033664,-0.08666218150098015,-0.12347619271251908,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,pressure_bucket,standard_rush,test,20115,0.5898141034323259,1.1766085838132618,0.4041836573472225,0.39311613456280836,,,20115,0.5679070090343395,0.8474137120250599,0.3150983779300101,0.26697181182544816,,,0.021907094397986326,-0.32919487178820195,-0.08908527941721239,-0.1261443227373602,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,qb_location,0,test,225,0.49652664269369073,1.2993959115378377,0.45203541602294445,0.46115063883089896,,,225,0.4816116377901275,0.8971242682582609,0.33664136760967633,0.2904269939194629,,,0.014915004903563234,-0.4022716432795769,-0.11539404841326811,-0.17072364491143605,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,qb_location,P,test,666,0.6113133589513932,1.0821771480632305,0.3926727436308462,0.3921839574005644,,,666,0.5220979842631919,0.7874839034807989,0.2928510109766977,0.23034722538281685,,,0.08921537468820129,-0.2946932445824316,-0.09982173265414851,-0.16183673201774754,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,qb_location,S,test,16342,0.6028094156585776,1.1424686087764107,0.3960271178172194,0.38494458165856704,,,16342,0.5738718891500043,0.8491147214292722,0.31468243255846085,0.2655678817805959,,,0.028937526508573286,-0.2933538873471384,-0.08134468525875854,-0.11937669987797112,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,qb_location,U,test,2883,0.5707110273948648,1.3819785519426306,0.4492045791284154,0.4432001291888769,,,2883,0.5281657981383683,0.847503881837585,0.32081400073441013,0.282721012966545,,,0.04254522925649651,-0.5344746701050457,-0.12839057839400525,-0.1604791162223319,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,score_state,leading_big,test,2264,0.592177202399341,1.1706341332489882,0.3991887798157199,0.3861862291542946,,,2264,0.5543254749768305,0.8123959495269372,0.30237453119332197,0.24104044330703453,,,0.03785172742251053,-0.3582381837220511,-0.0968142486223979,-0.1451457858472601,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,score_state,one_score,test,12762,0.5972892249612525,1.161160307617754,0.401796138043489,0.39215321535306985,,,12762,0.5741250370540953,0.8380715864027055,0.31179437303861557,0.2652932655635463,,,0.02316418790715713,-0.3230887212150484,-0.09000176500487345,-0.12685994978952353,,,context_plus_motion,context_only
all,classification,completion,gradient_boosting,score_state,trailing_big,test,5090,0.564589557280329,1.2177832430427005,0.41231321525456394,0.39972702890505996,,,5090,0.5466792115166164,0.8862808828312242,0.32898515337324896,0.2830940484094206,,,0.017910345763712643,-0.3315023602114763,-0.08332806188131497,-0.11663298049563936,,,context_plus_motion,context_only
