task,target,model_name,feature_set,train_rows,test_rows,n_numeric_features,n_categorical_features,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,rmse,mae
classification,completion,logistic_regression,full,20693,20116,41,29,0.5940594773675344,1.3283533268776178,0.43288961615509625,0.43104936145379574,0.09624179757407039,,
classification,completion,random_forest,full,20693,20116,41,29,0.5901515312939398,1.0899470759048995,0.38364539357006106,0.37409393202806684,0.09683833764167826,,
classification,completion,logistic_regression,no_motion,20693,20116,37,18,0.5685882298596865,0.9018656454080957,0.3405353040039322,0.3154863755515455,0.006711075760588586,,
classification,completion,random_forest,no_motion,20693,20116,37,18,0.5679588484653929,0.8493866551063076,0.3149495835388308,0.26645334843357965,0.04553589182740107,,
classification,completion,logistic_regression,no_tracking_response,20693,20116,27,29,0.5970534490271642,1.3341325841890683,0.433757115147075,0.4323277938004358,0.09624179757407039,,
classification,completion,random_forest,no_tracking_response,20693,20116,27,29,0.5898723387328091,1.1066032897219005,0.38699799197696066,0.37724905385736573,0.09718631934778287,,
classification,explosive,logistic_regression,full,20693,20116,41,29,0.6024208907288493,0.37717750375480497,0.11100436221936977,0.16899267897535292,0.018194472062040168,,
classification,explosive,random_forest,full,20693,20116,41,29,0.58794396482819,0.3177473157449999,0.07753082456663017,0.05298081099182022,0.0,,
classification,explosive,logistic_regression,no_motion,20693,20116,37,18,0.5962438514789672,0.44251654467205964,0.13871814362080104,0.23126245802716672,0.03623980910717837,,
classification,explosive,random_forest,no_motion,20693,20116,37,18,0.5953295252029333,0.3103413975450853,0.07713248284795221,0.050059466398896336,0.0,,
classification,explosive,logistic_regression,no_tracking_response,20693,20116,27,29,0.6079514512713468,0.383098590427155,0.11373240707511464,0.17511583462177216,0.021724000795386757,,
classification,explosive,random_forest,no_tracking_response,20693,20116,27,29,0.5835906770757611,0.3177114666264808,0.07752284370417353,0.05247916777504605,0.0,,
classification,success,logistic_regression,full,20693,20116,41,29,0.5645886566990013,0.7798844959492428,0.2847059852730058,0.19565346965935557,0.017597931994432294,,
classification,success,random_forest,full,20693,20116,41,29,0.5460320082225697,0.8225042335516266,0.29982110492140024,0.22643749173266842,0.009246371047922052,,
classification,success,logistic_regression,no_motion,20693,20116,37,18,0.5760182516674465,0.7343109371109714,0.2672777893589595,0.15282610303087976,0.011831378007556174,,
classification,success,random_forest,no_motion,20693,20116,37,18,0.5603286001085968,0.782609792338681,0.2856350674811792,0.19942051183568044,0.005468283953072181,,
classification,success,logistic_regression,no_tracking_response,20693,20116,27,29,0.5645383957137575,0.7807211487102961,0.2850244600052429,0.1959329281069936,0.017448796977530323,,
classification,success,random_forest,no_tracking_response,20693,20116,27,29,0.5465024084301452,0.8219676919122787,0.29952309670065264,0.22624965278428047,0.010389739510837145,,
regression,epa,random_forest,full,20693,20116,41,29,,,,,,1.7707926650687116,1.2246714162269836
regression,epa,ridge_regression,full,20693,20116,41,29,,,,,,1.7342789879292246,1.2385147751651748
regression,epa,random_forest,no_motion,20693,20116,37,18,,,,,,1.7147314572307928,1.1761720310637591
regression,epa,ridge_regression,no_motion,20693,20116,37,18,,,,,,1.6912831312729848,1.1947282613471542
regression,epa,random_forest,no_tracking_response,20693,20116,27,29,,,,,,1.771062764021126,1.2248145691812866
regression,epa,ridge_regression,no_tracking_response,20693,20116,27,29,,,,,,1.7345720131690656,1.2383616095055803
