group_column,group_value,n_obs,auroc,log_loss,brier_score,expected_calibration_error,predicted_positive_rate,balanced_accuracy,f1,model_name,feature_set,task,target,dataset_split,evaluation_slice,rmse,mae
down_bucket,early_down,14162,0.5515852028081236,0.7476447614907915,0.2740056621758997,0.16162936087185334,0.014475356588052535,0.5024931613156035,0.033138123125267815,logistic_regression,context_only,classification,success,test,all,,
down_bucket,late_down,5954,0.6042032083495075,0.7039639876044738,0.2517462724868091,0.13536627471485707,0.006046355391333557,0.502242999190272,0.01717791411042945,logistic_regression,context_only,classification,success,test,all,,
distance_bucket,long,13759,0.5720366121087958,0.7333459446656737,0.266183391529509,0.1537431370210066,0.005669016643651428,0.5011300075921179,0.013691931540342298,logistic_regression,context_only,classification,success,test,all,,
distance_bucket,medium,4319,0.5659129821301052,0.7348262011296162,0.26841933319342953,0.15010081455417232,0.009261403102570039,0.5005140713591273,0.019230769230769232,logistic_regression,context_only,classification,success,test,all,,
distance_bucket,short,2038,0.5546892589573386,0.7437318346888172,0.27362370461463054,0.16383748713615728,0.06035328753680078,0.508038313730057,0.12185215272136475,logistic_regression,context_only,classification,success,test,all,,
field_zone,backed_up,11014,0.5919247754747547,0.7304555145095211,0.26591150457642687,0.1546859032090543,0.011349191937534047,0.5021175984010008,0.02662037037037037,logistic_regression,context_only,classification,success,test,all,,
field_zone,red_zone,2754,0.561702021567944,0.7287804202454288,0.2628245691739757,0.15078258316414037,0.006172839506172839,0.5006680024909854,0.0136986301369863,logistic_regression,context_only,classification,success,test,all,,
field_zone,scoring_range,6348,0.5485760888885791,0.7446831096827113,0.2720222620056172,0.15422521698657596,0.015595463137996219,0.5042010070467381,0.03878474466709761,logistic_regression,context_only,classification,success,test,all,,
pressure_bucket,standard_rush,20115,0.5764903553148661,0.7347005293892213,0.26740964164958575,0.1536389686589625,0.011981108625403927,0.5026765836947678,0.029010058231868713,logistic_regression,context_only,classification,success,test,all,,
score_state,leading_big,2264,0.5696559913441219,0.761583024752967,0.27944840384154646,0.18177801782162137,0.011925795053003533,0.5017167231095538,0.026737967914438502,logistic_regression,context_only,classification,success,test,all,,
score_state,one_score,12762,0.5817468950734215,0.7320455709937596,0.26635589091336676,0.1521512459337738,0.01136185550854098,0.5029134650078573,0.028328611898016998,logistic_regression,context_only,classification,success,test,all,,
score_state,trailing_big,5090,0.5658497102158457,0.7294611295415617,0.26472699960469664,0.14526786192379365,0.01355599214145383,0.5025658819362663,0.031855359448988374,logistic_regression,context_only,classification,success,test,all,,
qb_location,0,225,0.588811630847029,0.7603422729445941,0.27850725989596914,0.1850489819072379,0.008888888888888889,0.5000395069532237,0.017543859649122806,logistic_regression,context_only,classification,success,test,all,,
qb_location,P,666,0.5312384439854609,0.7627734124856256,0.2811191014386876,0.17800632404864547,0.02702702702702703,0.491314386730764,0.0345821325648415,logistic_regression,context_only,classification,success,test,all,,
qb_location,S,16342,0.5778811390450826,0.7300561760387312,0.2650272460791953,0.14908664233290794,0.01125933178313548,0.5030443399302992,0.02852572647294055,logistic_regression,context_only,classification,success,test,all,,
qb_location,U,2883,0.5621540380633927,0.7526481309319186,0.2769340213876461,0.17310991415860053,0.012833853624696497,0.503081714152063,0.031018206338503034,logistic_regression,context_only,classification,success,test,all,,
starting_hash,0,227,0.5885732029188014,0.7604787547312324,0.27853684133019774,0.18460113746770707,0.00881057268722467,0.5000388138487812,0.017391304347826087,logistic_regression,context_only,classification,success,test,all,,
starting_hash,L,9159,0.5745266915704305,0.7367648417795715,0.2685595271060785,0.15586508591369638,0.01288350256578229,0.501468616036862,0.02814951545916013,logistic_regression,context_only,classification,success,test,all,,
starting_hash,M,2114,0.5713477454125103,0.7354682240143036,0.2672385604448213,0.15250819365660778,0.008987701040681173,0.5032812651104948,0.024691358024691357,logistic_regression,context_only,classification,success,test,all,,
starting_hash,R,8616,0.5789149958347454,0.7316746756824866,0.26595387715815605,0.15099975863125326,0.011838440111420613,0.5038744445534997,0.03130434782608696,logistic_regression,context_only,classification,success,test,all,,
box_bucket,light_box,5752,0.5787913657352594,0.7238331014313666,0.26139086235055836,0.143011926987128,0.010778859527121001,0.5015446167811193,0.0244672454617206,logistic_regression,context_only,classification,success,test,all,,
