evaluation_slice,task,target,model_name,group_column,group_value,dataset_split,n_obs_full,auroc_full,log_loss_full,brier_score_full,expected_calibration_error_full,rmse_full,mae_full,n_obs_context_plus_motion,auroc_context_plus_motion,log_loss_context_plus_motion,brier_score_context_plus_motion,expected_calibration_error_context_plus_motion,rmse_context_plus_motion,mae_context_plus_motion,improvement_auroc,improvement_log_loss,improvement_brier_score,improvement_expected_calibration_error,improvement_rmse,improvement_mae,candidate_feature_set,baseline_feature_set
all,classification,completion,gradient_boosting,box_bucket,light_box,test,5752,0.5900553997297933,1.1122801716076585,0.38709130522721746,0.3740932146697118,,,5752,0.5935915227521931,1.1475347216123137,0.3930826854178539,0.3823070437005722,,,-0.0035361230223998064,0.03525455000465527,0.005991380190636442,0.008213829030860431,,,full,context_plus_motion
all,classification,completion,gradient_boosting,box_bucket,loaded_box,test,509,0.5368741976893453,1.2632395603515554,0.4303046707330252,0.4341490939080489,,,509,0.536729781771502,1.3073630804289709,0.4369919722411719,0.44131509493407595,,,0.0001444159178433102,0.04412352007741549,0.006687301508146726,0.007166001026027047,,,full,context_plus_motion
all,classification,completion,gradient_boosting,box_bucket,standard_box,test,13855,0.5871065009611917,1.1479536910946186,0.40128930004288316,0.38934472941738557,,,13855,0.5901172541623094,1.1837959367685642,0.40755824297836696,0.39632718202834005,,,-0.0030107532011177662,0.03584224567394556,0.006268942935483801,0.0069824526109544816,,,full,context_plus_motion
all,classification,completion,gradient_boosting,distance_bucket,long,test,13759,0.5898289238806862,1.1400352139771868,0.39942949690776475,0.38862755446749125,,,13759,0.5936880517838306,1.171452897575215,0.4048114538124214,0.3946526713017941,,,-0.003859127903144355,0.03141768359802821,0.0053819569046566484,0.006025116834302846,,,full,context_plus_motion
all,classification,completion,gradient_boosting,distance_bucket,medium,test,4319,0.5822814998603598,1.1148292572530654,0.3856543547958107,0.3711237624690539,,,4319,0.5856773237782351,1.1594225900299793,0.39359800620593055,0.38151289847923353,,,-0.003395823917875296,0.04459333277691391,0.007943651410119823,0.010389136010179656,,,full,context_plus_motion
all,classification,completion,gradient_boosting,distance_bucket,short,test,2038,0.5535703156648282,1.199720707671263,0.4141540288749607,0.403326547889274,,,2038,0.5487057313577015,1.2472981582453238,0.4221832164136445,0.41246309933697883,,,0.0048645843071266626,0.04757745057406071,0.008029187538683757,0.00913655144770481,,,full,context_plus_motion
all,classification,completion,gradient_boosting,down_bucket,early_down,test,14162,0.5833361448478271,1.1680668723495402,0.4103593612518508,0.40311032939450325,,,14162,0.5854495464713954,1.1985483210809684,0.41557185081233505,0.40847872356924864,,,-0.002113401623568212,0.030481448731428218,0.005212489560484257,0.005368394174745383,,,full,context_plus_motion
all,classification,completion,gradient_boosting,down_bucket,late_down,test,5954,0.5546225836007564,1.0755055134712714,0.3684797183600101,0.34591591473288147,,,5954,0.5535486597249492,1.1242389834451054,0.37702912758737617,0.3571834570069453,,,0.0010739238758072922,0.04873346997383399,0.008549409227366078,0.011267542274063846,,,full,context_plus_motion
all,classification,completion,gradient_boosting,field_zone,backed_up,test,11014,0.5803237489127394,1.1750916055072957,0.4113449804492493,0.4028464227839811,,,11014,0.5857076522929725,1.2108650394185716,0.417508161862316,0.4096001020715934,,,-0.0053839033802330905,0.035773433911275854,0.0061631814130667095,0.006753679287612335,,,full,context_plus_motion
all,classification,completion,gradient_boosting,field_zone,red_zone,test,2754,0.6077922865885829,0.9938476865252414,0.341530997358713,0.31783071754986747,,,2754,0.6084826421863458,1.0217220788939723,0.34627502769990964,0.32355848190770664,,,-0.0006903555977629816,0.027874392368730905,0.004744030341196637,0.005727764357839171,,,full,context_plus_motion
all,classification,completion,gradient_boosting,field_zone,scoring_range,test,6348,0.5870081127489568,1.1446451483418816,0.399229290449005,0.3872848945239546,,,6348,0.5883218901579645,1.1841950348378514,0.40612533960655756,0.3949168248439032,,,-0.0013137774090077325,0.0395498864959698,0.006896049157552542,0.007631930319948632,,,full,context_plus_motion
